imageUrl;title;description;wikipediaLink
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Theodore%20Matthieu%20Ketelaar.jpg;Theodore Matthieu Ketelaar;Dutch politician (1864-1936);https://nl.wikipedia.org/wiki/Theodore_Matthieu_Ketelaar
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Lodewijk%20Duymaer%20van%20Twist.jpg;Lodewijk Duymaer van Twist;Dutch politician (1865-1961);https://nl.wikipedia.org/wiki/Lodewijk_Duymaer_van_Twist
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Pieter%20von%20Fisenne.jpg;Pieter von Fisenne;politician (1837-1914);https://nl.wikipedia.org/wiki/Pieter_von_Fisenne
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Petrus%20Josephus%20Johannus%20Sophia%20Marie%20van%20der%20Does%20de%20Willebois.jpg;Petrus Josephus Johannus Sophia Marie van der Does de Willebois;Dutch mayor (1843-1937);https://nl.wikipedia.org/wiki/Petrus_van_der_Does_de_Willebois
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Octaaf%20van%20Nispen%20tot%20Sevenaer.jpg;Octaaf van Nispen tot Sevenaer;Dutch politician (1867-1956);https://nl.wikipedia.org/wiki/Octaaf_van_Nispen_tot_Sevenaer
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Alibert%20Cornelis%20Visser%20van%20IJzendoorn.jpg;Alibert Cornelis Visser van IJzendoorn;Dutch university professor and politician (1858-1924);https://nl.wikipedia.org/wiki/Alibert_Cornelis_Visser_van_IJzendoorn
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Pieter%20van%20Foreest.jpg;Pieter van Foreest;Dutch politician (1845–1922);https://nl.wikipedia.org/wiki/Pieter_van_Foreest_(1845-1922)
http://commons.wikimedia.org/wiki/Special:FilePath/Annie%20Zondervan%20in%201928.jpg;Annie de Jong;Dutch athletics competitor (1907-1972);https://nl.wikipedia.org/wiki/Annie_de_Jong-Zondervan
http://commons.wikimedia.org/wiki/Special:FilePath/1925%20Adri%C3%ABnne%20Solser%2C%20bekend%20door%20haar%20creatie%20van%20Bet%2C%20de%20Jordaanvrouw.jpg;Adriënne Solser;Dutch actress, film director and producer;https://nl.wikipedia.org/wiki/Adri%C3%ABnne_Solser
http://commons.wikimedia.org/wiki/Special:FilePath/1921%20H.B.J.%20van%20Rijn%2C%20burgemeester%20van%20Venlo%2C%20herdacht%20tachtigsten%20geboortedag.jpg;Hermanus Bernardus Jacobus van Rijn;Dutch politician (1841-1928);https://nl.wikipedia.org/wiki/Hermanus_Bernardus_Jacobus_van_Rijn
http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20Polak%2C%201919.jpg;Anna Sophia Polak;Dutch writer, editor (1874–1943);https://nl.wikipedia.org/wiki/Anna_Sophia_Polak
http://commons.wikimedia.org/wiki/Special:FilePath/1930%20Ir.%20Ringen%2C%20ir.%20dr.%20Joosting%20en%20prof.%20dr.%20lterson%20bij%20rectoraatsoverdracht%20aan%20Technische%20Hoogeschool%20te%20Delft.jpg;Johan Ringers;Dutch politician (1885–1965);https://nl.wikipedia.org/wiki/Johan_Ringers
http://commons.wikimedia.org/wiki/Special:FilePath/1930%20Ir.%20Ringen%2C%20ir.%20dr.%20Joosting%20en%20prof.%20dr.%20lterson%20bij%20rectoraatsoverdracht%20aan%20Technische%20Hoogeschool%20te%20Delft.jpg;Pieter Joosting;Dutch architect (1867-1942);https://nl.wikipedia.org/wiki/Pieter_Joosting
